ID Earthquake,Flag Tsunami,Year,Month,Focal Depth,EQ Primary,Mw Magnitude,Ms Magnitude,Mb Magnitude,Intensity,Country,State,Location name,Region code,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Latitude,Longitude
6302,Tsunami,1927,11.0,33.0,7.1,,7.1,,,CHILE,,CHILE:  SOUTHERN,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-44.6, -73.0
3368,Tsunami,1928,6.0,33.0,7.0,,7.0,,8.0,PHILIPPINES,,PHILIPPINES:  SW MINDORO,170.0,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,12.4, 120.9
6079,Tsunami,1928,5.0,,,,,,,TONGA,,TONGA ISLANDS:  LIFUKA ISLAND,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-19.8, -174.345
3378,Tsunami,1928,12.0,25.0,7.6,7.6,8.0,,9.0,CHILE,,"CHILE:  TALCA, CHILLAN, SANTIAGO, SAN FERNANDO",160.0,279.0,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,279.0,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,-35.0, -72.0
3371,Tsunami,1928,6.0,35.0,7.7,7.7,7.8,,,MEXICO,,MEXICO:  OAXACA,150.0,4.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,4.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,16.028, -97.036
3376,,1928,10.0,60.0,7.6,,7.6,,,MEXICO,,MEXICO:  OAXACA,150.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0, -97.0
3348,Tsunami,1928,3.0,60.0,7.7,,7.7,,,MEXICO,,MEXICO:  OAXACA,150.0,,,,,,,,,,,,,,,,,,,,,,,,,15.67, -96.1
3342,,1928,2.0,100.0,7.7,,,,,MEXICO,,"MEXICO:  OAXACA,COLIMA,PUEBLA,GUERRERO,MORELOS",150.0,,,,,,,,SEVERE (~>$5 to $24 million),,,,,,,,,,,,,,,,,17.8, -97.6
6081,Tsunami,1928,11.0,33.0,7.1,,7.1,,,CHILE,,CHILE:  NORTHERN,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-22.5, -70.5
3380,Tsunami,1928,12.0,,7.3,,7.3,,7.0,PHILIPPINES,,"PHILIPPINES:  COTABATO,N COAST OF ILLANA BAY",170.0,93.0,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,97.0,Some (~51 to 100 deaths),,,102.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,7.0, 124.0
3361,,1928,4.0,,7.8,,7.8,,,MEXICO,,MEXICO:  OAXACA,150.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,17.75, -97.1
6628,Tsunami,1928,5.0,40.0,,,,,,JAPAN,,"SANRIKU, JAPAN",30.0,,,,,,,,,,,,,,,,,,,,,,,,,40.0, 143.2
6304,Tsunami,1928,2.0,33.0,5.8,,5.8,,,CANADA,BC,BRITISH COLUMBIA,150.0,,,,,,,,,,,,,,,,,,,,,,,,,49.0, -125.0
3395,Tsunami,1929,6.0,,7.2,,7.2,,10.0,PHILIPPINES,,"PHILIPPINES:  MINDANAO:  HINATUAN,EBRO",170.0,,,,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,,,,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,8.5, 127.0
3402,,1929,10.0,100.0,7.5,,,,,CHILE,,CHILE,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-23.0, -69.0
3396,Tsunami,1929,6.0,,7.5,,7.5,,,NEW ZEALAND,,NEW ZEALAND:  SOUTH ISLAND,170.0,17.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,17.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,,-41.75, 172.25
3389,Tsunami,1929,3.0,50.0,7.8,7.8,7.5,7.9,5.0,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,150.0,,,,,,,,,,,,,,,,,,,,,,,,,51.0, -170.0
6082,Tsunami,1929,5.0,30.0,6.8,,,,,JAPAN,,JAPAN:  HIUGANADA,30.0,,,,,,,,,,,,,,,,,,,,,,,,,31.7, 132.2
6518,Tsunami,1929,8.0,,,,,,,USA,NY,NEW YORK:  ATTICA,150.0,,,,,,,,,,,,,,,,,,,,,,,,,42.9, -78.3
3404,,1929,12.0,25.0,7.8,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,150.0,,,,,,,,,,,,,,,,,,,,,,,,,52.5, 171.5
3403,Tsunami,1929,11.0,18.0,7.3,7.3,,,6.0,CANADA,,CANADA:  GRAND BANKS,150.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,28.0,Few (~1 to 50 deaths),,,,,1.0,MODERATE (~$1 to $5 million),,,,,44.69, -56.0
